voice,card,part
ta_wha_1,プロテインを飲み干した,3
ta_wha_2,反省文を書いた,3
ta_wha_3,熱々のラーメンをすすった,3
ta_wha_4,咀嚼音のASMRを聴いた,3
ta_wha_5,プロポーズに大成功した,3
ta_wha_6,座禅を組んだ,3
ta_whe_1,予約の取れない寿司屋で,2
ta_whe_2,秘密の地下組織で,2
ta_whe_3,サウナの最上段で,2
ta_whe_4,実家の四畳半で,2
ta_whe_5,回転寿司のレーン上で,2
ta_whe_6,図書館の真ん中で,2
ta_who_1,エジプトのミイラが,1
ta_who_2,ドラえもんが,1
ta_who_3,アラブの石油王が,1
ta_who_4,地獄のエンマ大王が,1
ta_who_5,シュワルツェネッガーが,1
ta_who_6,眉毛のないヤンキーが,1
ka_wha_1,百円玉を拾った,3
ka_wha_2,激しくサンバを踊った,3
ka_wha_3,ブロッコリーをむさぼり食った,3
ka_wha_4,宇宙人とチェスをした,3
ka_wha_5,涙をながしながら謝罪した,3
ka_wha_6,教科書を破り捨てた,3
ka_whe_1,マクドナルドで,2
ka_whe_2,コインランドリーで,2
ka_whe_3,宇宙の果てで,2
ka_whe_4,富士山の山頂で,2
ka_whe_5,無人島の砂浜で,2
ka_whe_6,部室のロッカーの中で,2
ka_who_1,織田信長が,1
ka_who_2,トランプ大統領が,1
ka_who_3,近所のおじいさんが,1
ka_who_4,謎の覆面レスラーが,1
ka_who_5,担任の先生が,1
ka_who_6,ピカピカの一年生が,1
ne_wha_1,写生した,3
ne_wha_2,般若心経をとなえ続けた,3
ne_wha_3,ポイントカードを紛失してキレた,3
ne_wha_4,みかんの皮をむいた,3
ne_wha_5,変顔の自撮りを投稿した,3
ne_wha_6,前髪のセットに命をかけた,3
ne_whe_1,満員エレベーター内で,2
ne_whe_2,渋谷のスクランブル交差点で,2
ne_whe_3,ドラッグストアのレジ前で,2
ne_whe_4,おばあちゃんの家のコタツで,2
ne_whe_5,上場企業の株主総会で,2
ne_whe_6,真夜中の音楽室で,2
ne_who_1,宇宙人が,1
ne_who_2,二足歩行のロボットが,1
ne_who_3,伝説の勇者が,1
ne_who_4,怪盗ルパンの孫が,1
ne_who_5,セクシーなお姉ちゃんが,1
ne_who_6,AIの搭載された電子レンジが,1
